              start,                   end,  length,   inter,    swel,    hsig,     tps,  a_hsig,   a_tps
2010-11-04 23:00:00,   2010-11-06 08:00:00,      33,     114,    0.20,    4.09,   12.12,    3.31,   11.30
2010-11-11 02:00:00,   2010-11-11 15:00:00,      13,     148,    0.64,    3.55,   11.43,    3.28,    9.13
2010-11-17 19:00:00,   2010-11-18 07:00:00,      12,     324,   -0.19,    3.90,    7.14,    3.52,    8.08
2010-12-01 19:00:00,   2010-12-02 07:00:00,      12,     251,    0.29,    4.11,    8.33,    3.47,    8.97
2010-12-12 18:00:00,   2010-12-14 07:00:00,      37,     299,    0.30,    5.61,   10.81,    4.20,   11.58
2010-12-26 18:00:00,   2010-12-28 05:00:00,      35,     367,    0.18,    7.40,   10.00,    4.48,    9.06
2011-01-12 12:00:00,   2011-01-12 19:00:00,       7,     141,   -0.29,    3.68,    7.14,    3.38,    7.62
2011-01-18 16:00:00,   2011-01-19 05:00:00,      13,     189,    0.26,    4.45,   10.81,    3.93,    9.83
2011-01-27 02:00:00,   2011-01-27 11:00:00,       9,     234,    0.49,    3.92,    8.33,    3.51,    8.22
2011-02-06 05:00:00,   2011-02-06 12:00:00,       7,      59,   -0.28,    4.49,    7.69,    3.75,    7.74
2011-02-08 23:00:00,   2011-02-09 05:00:00,       6,     115,   -0.31,    3.48,    7.69,    3.28,    7.60
2011-02-14 00:00:00,   2011-02-14 03:00:00,       3,     277,   -0.16,    3.31,    7.14,    3.21,    7.72
2011-02-25 16:00:00,   2011-02-26 06:00:00,      14,      60,   -0.09,    5.03,    9.09,    3.98,    9.90
2011-02-28 18:00:00,   2011-02-28 21:00:00,       3,     154,    0.37,    3.44,    7.69,    3.29,    7.69
2011-03-07 07:00:00,   2011-03-07 23:00:00,      16,      75,    0.09,    4.63,   10.00,    3.93,   10.57
2011-03-11 02:00:00,   2011-03-11 07:00:00,       5,     503,    0.32,    3.44,    7.69,    3.26,    7.60
2011-04-01 06:00:00,   2011-04-01 12:00:00,       6,      89,    0.38,    3.37,    7.69,    3.21,    8.08
2011-04-05 05:00:00,   2011-04-06 02:00:00,      21,     174,    0.03,    5.11,   10.00,    4.15,   10.06
2011-04-13 08:00:00,   2011-04-13 14:00:00,       6,      76,    0.09,    3.73,    6.67,    3.40,    7.26
2011-04-16 18:00:00,   2011-04-18 00:00:00,      30,     256,    0.36,    4.27,    9.09,    3.59,    9.15
2011-04-28 16:00:00,   2011-04-29 03:00:00,      11,     nan,    0.13,    3.43,    9.09,    3.27,    8.63
2013-01-19 14:00:00,   2013-01-20 12:00:00,      22,     253,   -0.21,    3.75,    8.33,    3.29,    7.88
2013-01-31 01:00:00,   2013-02-01 13:00:00,      36,     168,   -0.15,    5.81,    9.09,    4.31,    9.49
2013-02-08 13:00:00,   2013-02-09 12:00:00,      23,      57,    0.54,    7.10,   10.81,    5.04,   10.19
